"","Row.Index","Data.Set.1","Data.Set.2","Data.Set.3","Data.Set.4","Data.Set.5"
"1",1,-0.413474288392178,-0.626133939825319,-1.76205355273838,-4.61318268646924,0.463867592880173
"2",2,-1.12219982939239,0.638671503349354,-1.55986049028182,-15.2717738145467,1.93898808848646
"3",3,-1.32046727971228,-1.43806980933105,1.85460320527465,-3.00699406472787,0.788456844880611
"4",4,-0.531819167682511,0.535267746404283,-0.944957694733413,-36.7368005696771,0.171168737517843
"5",5,-1.08449475224318,-1.60530607747693,-1.87497895254948,1.19492177443489,2.45168016463482
"6",6,-1.29532843204283,0.516182248036366,1.57268940758536,-0.307090007903809,-1.76262127315236
"7",7,-0.66099113881739,-3.75939111862837,-1.13213848692591,-16.178924876983,2.32376832456168
"8",8,-0.802169757497381,-0.410094626131538,-2.01953900973386,-4.69387390131092,0.0849428516765504
"9",9,-1.01407457253327,-0.599768929699306,1.02408048830405,0.549875245116877,0.524138977534211
"10",10,-0.278538966145532,-0.983949948563344,-1.67093168933056,-2.18682950765492,1.58423094851813
"11",11,-0.152700721379411,-1.46352848885254,-1.04631508435005,0.312787664520897,2.7210881239477
"12",12,-0.95228283941464,-1.40817204260659,2.01535643247477,-1.41895008116138,0.825669579991277
"13",13,-0.895487533951001,-1.4492445334226,2.20502666773857,-11.4240300532395,0.940217411173515
"14",14,0.308163112417124,-1.70142132569969,-0.940661873224022,1.58498219585587,0.417927707658779
"15",15,-1.56396236032973,-0.303995239930209,-2.04262212429143,-6.33971222860686,-0.103879701933641
"16",16,-1.30011368088339,-1.22983124022247,-1.36764869974843,1.08114922223278,1.87185138738879
"17",17,-0.606635890626395,-0.318288262348207,1.59724749774806,-16.5992869946042,-1.96238530688268
"18",18,-0.480635933270179,-3.24034230283324,1.0530839724885,-0.1710647758935,2.52217659078372
"19",19,-1.27640337687227,-1.51960233786964,-1.78245707656574,0.528168223045662,1.26128254819271
"20",20,-0.605702173171129,1.20090643560154,3.07619352261692,-12.2335329304511,1.1122941218125
"21",21,-0.560087730401714,-0.392253847664433,-1.82892264641573,-1.77544487650039,2.59591555115583
"22",22,-1.06461478212051,-0.579555994367111,-1.29524320237768,-20.8322460329498,0.862920823869564
"23",23,-1.36480395147348,-1.25925165866766,1.31271229276208,-13.5916426147301,-1.37926603205313
"24",24,-1.5423144142786,-1.09978863929723,-2.17774726015187,0.480383714163112,2.45039033771077
