target,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10,features_11,features_12,features_13,features_14,features_15,features_16,features_17,features_18,features_19,features_20
0,-0.902216530996251,-0.53289444920745,1.21882510602492,0.306105113964496,0.523558021559208,0.674503560113404,1.63833611434264,0.4101198715571,0.422606238025023,-0.474852672069615,-0.871129359458683,-1.01121705997443,-1.36242133669833,-1.99209055616702,-0.423191038904137,-0.221077972716599,-0.918948141187282,-0.65422485469341,1.18671177102252,1.82317636286234
1,-0.851898332448522,-0.495634415294403,-0.991029818576938,-1.3632014681986,0.663061588402175,0.484603516579748,-1.02655073700283,-1.53034482164825,-1.20381952105902,0.071837612767639,0.750052736514783,-0.399971062894224,-0.279312549013818,-1.10048485628342,-0.112622912078592,0.0340172492981886,0.52539589643348,-0.0791746040540123,-1.33123669794895,-2.20490630105777
0,0.979723704987578,0.393299186598309,-0.0737935433989014,-2.31471131887497,-0.719950217541449,-0.61717968137208,-0.285615620852695,-1.07963404021341,-0.535918095000879,-0.0892577104432724,-0.269584339355818,0.0480798067393498,1.48574838042211,-0.296760307651023,1.37008756180319,1.27352135991595,0.70340388359678,0.141978681900435,0.121484970773966,0.508595690982809
0,0.333510924185584,-0.320477208238306,-0.685660017948709,0.800811568261594,-1.04625742117361,-1.14791677724354,-1.60204027194693,-1.42589420685425,-0.255428602151154,0.114083403761183,0.050861091675151,1.0573353486135,-0.336727084426573,-0.162146138167661,0.0544272085894558,-0.898336971270469,-1.43627251270064,0.883845119664915,1.88982986709323,1.53716670084912
1,1.50871774177874,1.25936411976088,0.569657780658439,-0.815603413770258,-1.66066718301411,-1.53399013463224,0.0852727393698011,0.874493483527216,-0.285610869456363,-0.102155185223579,0.196368587709565,-0.358463918228363,0.217735955584421,-0.24769313128988,-0.875143645496343,0.736793846208535,0.949261400679542,1.15814717818431,-0.0277713265746279,-0.490736321184579
0,-1.9851551712263,-0.182630071070003,-1.1972772129505,0.648731438992052,0.656409515451953,0.249791058996368,1.97756252398696,1.06632778242949,1.58158034782379,1.93281589396254,1.27161733672098,1.30280042062141,1.34242413043437,0.0735005345777567,0.288371031754432,0.712086787049414,1.79298831827687,1.59923202673704,2.13514111687874,0.469174328349893
0,1.41676533703242,1.34116539359826,2.03626546715404,1.55547422644648,0.444553368271998,-1.47330862777629,0.736146062575593,0.729427909723161,-0.0783363718514334,-0.215713068723394,1.85392883620466,0.486123244020981,-0.0991505081156256,-0.424167639339542,-2.46480685183196,-1.66894248040369,-1.23239686483881,0.369205901999339,-0.366606665655744,0.297244258892312
1,-0.730699001801108,1.09236880691585,-0.212017331210236,0.305650513177633,-0.725155476832243,-0.297154511321607,-0.0800993902193598,-1.2666136124708,-0.224010754861686,0.676220516043121,-0.383216547119893,-1.36349576923461,-1.90896294239079,0.325186321687316,1.07797582021944,0.00829144930229629,1.14641851538467,0.294475566619496,0.223348095453098,-0.243044483933743
1,2.22142059363582,-0.12017956132995,0.971392384170055,-0.340523429109386,-0.79850469829285,0.443529702400868,0.414546592030896,-0.594290809782839,-0.416288102487184,-1.00245721753924,-0.0255405433151248,0.0961060990610037,1.00515809681136,-0.60919648083774,0.712801886691282,0.354792396504787,0.0678729025558421,0.253287798299127,0.991450702783195,0.785419958138144
1,-0.777776755908557,-0.863204712774513,1.49977477863552,1.43894015174967,1.61722854594172,1.00539927093254,-1.08272994703632,-0.425770757159682,0.110275357523929,0.864507592748172,0.119113282783237,1.12090649745362,0.461697017535131,-0.187908361124436,0.683431452929173,1.71659739385091,0.961595444724557,0.569485778393831,0.518635840480948,-0.0505648398236122
