target,features_1,features_2,features_3,features_4,features_5
1,0.233801850777852,0.14088966085387,0.55086247804127,0.498958471829211,0.468799297754099
0,0.724796679129879,0.901760716676899,0.974736755568053,0.876592149002867,0.935365920738236
0,0.665290424408046,0.751149743739918,0.38336810614662,0.579266098446037,0.614678991493401
1,0.957461464921375,0.880368946828524,0.729792756756435,0.954945845485321,0.737827556880625
0,0.49824680700255,0.694602320447644,0.475380880974598,0.471522570317492,0.616785989843646
1,0.93622901971933,0.680773854757622,0.824997887550317,0.688686431182065,0.559253807492302
0,0.0496616918271211,0.195964771423916,0.0256431577938634,0.0061871680268164,0.00224625239686971
0,0.440664045151243,0.840519510713633,0.889064423141221,0.783654163212128,0.519142259983353
1,0.253447427099083,0.300601187570634,0.392647702303721,0.715260865179146,0.927649782534924
0,0.428411669034783,0.626180760257195,0.797190588760833,0.349707015494753,0.684599717495157
1,0.795007942723547,0.935535150351112,0.455687753491157,0.677148236343976,0.280778533823454
0,0.400185108230711,0.566021560729329,0.394723351064291,0.667970374139711,0.38447822217671
0,0.459396928883282,0.339718577461125,0.259459481452534,0.404575947153481,0.732540622565562
0,0.640087761028479,0.403675506902361,0.464658932457443,0.104878493073792,0.277652182102133
0,0.182104786709933,0.151924830357104,0.431294602714154,0.807065964517368,0.587785702511861
0,0.581463315678362,0.684330321835578,0.492475350371062,0.536974434468492,0.645508327205924
1,0.483594188404808,0.451900714640103,0.790876381920618,0.436142103737485,0.664243322727048
0,0.00774157542526654,0.00678665278748647,0.0547244147290502,0.0387586832581759,0.0128025307147684
0,0.901651479908087,0.36112127973875,0.159463665227193,0.354986337886669,0.0256323476884173
1,0.764992792664202,0.468935925440448,0.780078745860125,0.889346114210556,0.82933518794225
0,0.130755606572659,0.389021033311251,0.783112029823168,0.632326434633212,0.677734162334487
0,0.259399690501952,0.627845651579443,0.672301184193866,0.737298867726638,0.978456447255261
0,0.724559555492754,0.30458330506292,0.204108046832098,0.455064384957804,0.208770044504238
1,0.591514912818223,0.915270320275512,0.800908484594992,0.448320613150265,0.761627720972657
0,0.239158681606812,0.221433654174466,0.215427516228695,0.20451167050612,0.453159388332983
0,0.859339416547623,0.961384096918877,0.862759097707588,0.660013045711308,0.889167700143239
1,0.561514252430488,0.552872279063154,0.466900835322681,0.434100448887024,0.387693960413144
0,0.696027914961652,0.490072107602727,0.265402573257879,0.290173063962916,0.121838734246646
0,0.788309589812394,0.635908423182199,0.855038483017113,0.776820089112047,0.758945374733729
1,0.894041470052148,0.809796588835737,0.419986560814888,0.390437166987248,0.740128264050612
0,0.411193110192049,0.116365270670313,0.0186389046668856,0.250383197641698,0.270541106839633
1,0.0105069553988412,0.0214708375104302,0.0487264786938908,0.254804823400484,0.353942324862731
0,0.143714074398196,0.487211856451609,0.495833590446947,0.12832982265872,0.164810809337849
0,0.136969683269096,0.0912495526289476,0.0401431158535859,0.67517299073984,0.570344871044082
0,0.495167119026156,0.649458035205304,0.132920671604865,0.0989113317665198,0.121085333244604
1,0.970370610496495,0.929696521958569,0.986619420446619,0.91048222742582,0.848351149925052
0,0.442473504880774,0.260962850487383,0.367295371481914,0.662042920974324,0.440471284750373
1,0.820331057863577,0.910954479264469,0.952959481976248,0.953823342826366,0.997730842957343
0,0.356550576331948,0.314687687471334,0.301351764089038,0.164943342507583,0.664472709538472
0,0.648536618695059,0.425423517257834,0.517704257004767,0.776894435797032,0.939037263834198
1,0.474601521948886,0.307075412761837,0.774771185712626,0.666501917103709,0.67833175570492
0,0.624449294365186,0.582493108431274,0.544733668567534,0.859188380538194,0.988511567912862
1,0.424688974098562,0.638504022210381,0.563223312055487,0.923935648126647,0.561861257861658
0,0.897230950879732,0.62995507928362,0.675979174016294,0.404378555157108,0.316148683592616
1,0.739784728877014,0.76091210078666,0.902274816253387,0.80361374253477,0.937304091211876
0,0.736598195505875,0.713358857832772,0.689387717205459,0.677881160235532,0.104726848749237
0,0.765155295681356,0.435063610003779,0.0954484119811621,0.0168361181220169,0.00990616861296711
0,0.35083936625967,0.497572295349077,0.492324237247752,0.402257729766738,0.570894223534555
0,0.417807651447166,0.572849398112849,0.939364243710362,0.936257294165061,0.814221400722693
0,0.0292765411751812,0.0132647569075446,0.027691342035032,0.0246553999336305,0.13124194020602
0,0.0500869485429618,0.00796745404450072,0.110892924607161,0.252497188471098,0.41016698302385
1,0.602380350323366,0.168013063003328,0.875972936890444,0.730728703818906,0.995618623879804
0,0.340062439573819,0.169537803603664,0.102374394425447,0.348089044942996,0.451988558430288
0,0.120306223574067,0.643741589646813,0.794369453780505,0.24683253384418,0.792770699538533
0,0.721646969798883,0.503617552646978,0.359366185195095,0.439460978504988,0.321714132924111
0,0.641422684284968,0.802113169264444,0.710678587994587,0.714471318239897,0.430043899405315
1,0.998968408124406,0.994788270055752,0.971286406930883,0.720242036704993,0.424174804516874
0,0.56400856223917,0.674218713679371,0.556408483908678,0.709239676533787,0.150876076476762
1,0.39744784858305,0.377351641678615,0.581663129162219,0.688268815133291,0.859327374333034
0,0.0692086430389254,0.257526286042644,0.263219666722534,0.193114907286829,0.305605097744046
0,0.51283701062189,0.822819874866529,0.954009477082029,0.873096120027843,0.907530851177394
0,0.858366372514766,0.955192692610889,0.747200837815772,0.686003949233984,0.989139578296819
0,0.223862554706315,0.487189089962615,0.0994033823263166,0.216326748239129,0.780270382335347
0,0.361920578163335,0.122029946790382,0.39886600803407,0.348848501176236,0.743564476942153
1,0.251644647472872,0.259970169639235,0.632778602997309,0.322738515013514,0.532766683000644
0,0.418129756279989,0.823322776072382,0.962561766050044,0.864868817330559,0.963902900755652
1,0.0905011099621785,0.134763615644533,0.43414565427875,0.692788882205211,0.196695743428207
1,0.28079912803412,0.0461458079592499,0.12784125020692,0.589941322426476,0.920855966232618
1,0.650286199452857,0.496109834787822,0.438247417029642,0.950991716983812,0.89949011353411
1,0.423361062399996,0.326688394139683,0.585224949238755,0.889002090440466,0.716285590497131
0,0.577812519327932,0.349420621081915,0.614009839419428,0.805940332633768,0.996704679933951
0,0.536751024902091,0.301734585697785,0.469476291749214,0.603496007868555,0.0775600175855624
1,0.353018434381912,0.536832307481446,0.890368058464376,0.978810141358235,0.954765212060434
0,0.815397375512423,0.664758932008725,0.753573725587088,0.549276277026834,0.0588408127780313
1,0.237109574979174,0.762469410565028,0.889419433628044,0.946948880531918,0.974665404120917
1,0.834513498219003,0.524591574219865,0.804889264661061,0.277087853509678,0.358669582486273
0,0.823612249349444,0.806134302672031,0.707826424457421,0.717952345797351,0.738546362223117
0,0.687228502125718,0.489689294838495,0.3572068891343,0.0817397758472137,0.21983537899872
1,0.936691302489269,0.945912173579266,0.991318155225068,0.994391940822989,0.937409748278483
0,0.00213541815036944,0.11302045109795,0.631041245093941,0.407875056447122,0.379610818227011
0,0.29240159505168,0.460626007766444,0.929592243364978,0.359471276273283,0.26804681202117
0,0.0579943480301388,0.469600548273298,0.22403528300438,0.35333390553381,0.238094244367288
0,0.068768496452579,0.0953289029153082,0.200943421080617,0.0271076148792518,0.00186760995569102
0,0.782202262331091,0.704026813370366,0.380625085353817,0.929521303007165,0.914098152646459
